channel,clockSkewed,defaultBrowser,dnt,hasFlash,locale,received,score,searchEngine,series,silverlight,version,usingNonIncludedSearchEngine
release,0,1,0,1,en-us,2015-11-30 17:37:15,5,google,42,1,42.0,0
release,0,1,1,1,en-us,2015-11-30 17:37:19,5,other,42,0,42.0,1
aurora,0,1,0,1,en-us,2015-11-30 17:40:07,5,google,44,1,44.0a2,0
beta,0,0,0,1,en-us,2015-11-30 17:46:53,4,yahoo,43,1,43.0,0
beta,0,1,0,1,en-us,2015-11-30 18:05:16,4,yahoo,43,0,43.0,0
release,0,0,0,1,en-us,2015-11-30 18:08:43,5,other,42,0,42.0,1
nightly,0,1,0,1,en-us,2015-11-30 18:40:44,5,google,45,0,45.0a1,0
aurora,0,0,0,0,en-us,2015-11-30 18:51:46,5,google,44,0,44.0a2,0
release,0,1,0,1,en-us,2015-11-30 19:02:48,4,google,42,1,42.0,0
aurora,0,1,1,1,en-us,2015-11-30 19:08:53,5,google,44,1,44.0a2,0
release,0,1,0,1,en-us,2015-11-30 19:11:14,5,google,42,1,42.0,0
beta,0,1,0,1,en-us,2015-11-30 19:14:13,5,yahoo,43,1,43.0,0
beta,0,0,0,1,en-us,2015-11-30 19:15:29,4,google,42,1,42.0,0
nightly,0,0,0,1,en-us,2015-11-30 19:24:38,5,google,45,1,45.0a1,0
aurora,0,1,1,1,en-us,2015-11-30 19:28:30,4,google,44,1,44.0a2,0
beta,0,1,0,1,en-us,2015-11-30 19:30:33,1,google,43,0,43.0,0
beta,0,0,0,1,en-us,2015-11-30 19:41:00,4,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-11-30 19:45:09,5,google,42,0,42.0,0
beta,0,1,0,0,en-us,2015-11-30 19:51:40,4,google,42,1,42.0,0
aurora,0,1,0,1,en-us,2015-11-30 19:54:27,5,google,44,1,44.0a2,0
beta,0,1,0,1,en-us,2015-11-30 20:10:41,4,google,43,0,43.0,0
beta,0,0,0,0,en-us,2015-11-30 20:27:18,1,google,43,0,43.0,0
aurora,0,1,0,1,en-us,2015-11-30 20:28:58,5,google,44,0,44.0a2,0
beta,0,1,1,1,en-us,2015-11-30 20:29:11,1,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-30 20:30:28,5,google,43,1,43.0,0
release,0,0,0,1,en-us,2015-11-30 20:30:37,5,bing,42,1,42.0,0
release,0,0,1,1,en-us,2015-11-30 20:37:30,4,google,42,1,42.0,0
beta,0,1,0,1,en-us,2015-11-30 20:44:50,5,other,43,0,43.0,1
beta,0,1,0,1,en-us,2015-11-30 20:51:08,1,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-30 21:03:39,3,other,43,0,43.0,1
beta,0,1,0,1,en-us,2015-11-30 21:03:40,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-11-30 21:04:35,3,google,42,1,42.0,0
release,0,1,0,1,en-us,2015-11-30 21:13:01,3,google,42,0,42.0,0
beta,0,1,1,1,en-us,2015-11-30 21:23:29,5,yahoo,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-30 21:26:05,5,google,43,1,43.0,0
beta,0,0,0,1,en-us,2015-11-30 21:28:12,5,google,43,0,43.0,0
beta,0,0,0,1,en-us,2015-11-30 21:37:34,5,other,43,0,43.0,1
beta,0,1,0,1,en-us,2015-11-30 22:11:49,4,other,43,1,43.0,1
aurora,0,1,0,1,en-us,2015-11-30 22:41:19,5,google,44,0,44.0a2,0
beta,0,0,0,0,en-us,2015-11-30 22:46:24,3,google,43,0,43.0,0
beta,0,1,1,1,en-us,2015-11-30 22:47:57,5,google,43,1,43.0,0
nightly,0,0,0,1,en-us,2015-11-30 22:48:48,5,other,44,0,44.0a1,1
beta,0,1,0,1,en-us,2015-11-30 23:02:27,5,other,43,1,43.0,1
release,0,1,0,1,en-gb,2015-11-30 23:08:37,5,google,42,0,42.0,0
release,0,1,0,0,en-us,2015-11-30 23:22:48,3,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-11-30 23:37:38,5,google,43,1,43.0,0
release,0,0,0,0,en-gb,2015-11-30 23:38:43,4,google,42,1,42.0,0
nightly,0,1,0,1,en-us,2015-11-30 23:41:22,5,google,45,0,45.0a1,0
beta,0,0,0,0,en-us,2015-11-30 23:45:34,5,google,43,0,43.0,0
beta,0,0,0,1,en-us,2015-11-30 23:59:43,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-01 00:12:49,1,google,43,0,43.0,0
aurora,0,1,0,1,en-us,2015-12-01 00:23:12,4,google,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-12-01 00:27:27,5,google,43,0,43.0,0
aurora,0,1,0,1,en-us,2015-12-01 00:31:07,5,google,44,0,44.0a2,0
aurora,0,1,1,1,en-gb,2015-12-01 00:33:14,4,google,44,0,44.0a2,0
aurora,0,1,1,1,en-us,2015-12-01 00:35:13,5,ddg,44,1,44.0a2,0
release,0,1,0,1,en-us,2015-12-01 00:37:52,5,google,42,1,42.0,0
nightly,0,1,0,1,en-us,2015-12-01 00:51:50,5,google,45,1,45.0a1,0
beta,0,1,0,0,en-us,2015-12-01 01:04:33,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-01 01:15:21,5,ddg,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-01 01:37:19,5,google,42,0,42.0,0
aurora,0,1,0,1,en-us,2015-12-01 01:52:58,5,google,44,1,44.0a2,0
nightly,0,1,1,0,en-us,2015-12-01 02:00:40,4,other,45,0,45.0a1,1
beta,0,1,0,1,en-us,2015-12-01 02:05:16,1,google,43,0,43.0,0
aurora,0,1,1,1,en-gb,2015-12-01 02:24:55,5,ddg,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-12-01 02:36:30,5,google,43,1,43.0,0
beta,0,0,1,1,en-us,2015-12-01 02:37:02,5,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-12-01 02:41:04,5,other,43,1,43.0,1
beta,0,0,0,1,en-us,2015-12-01 02:47:13,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-12-01 02:47:32,5,google,42,0,42.0,0
beta,0,1,0,0,en-us,2015-12-01 02:49:50,4,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-12-01 03:11:05,3,other,42,0,42.0,1
beta,0,1,0,1,en-us,2015-12-01 06:47:25,4,google,40,0,40.0,0
beta,0,1,0,1,en-us,2015-12-01 03:51:43,1,other,43,0,43.0,1
release,0,1,1,1,en-us,2015-12-01 04:06:19,5,ddg,42,1,42.0,0
beta,0,1,0,1,en-us,2015-12-01 04:14:12,4,google,43,0,43.0,0
release,0,1,0,1,en-gb,2015-12-01 04:32:57,1,other,42,0,42.0,1
beta,0,1,0,1,en-us,2015-12-01 04:41:09,2,google,43,0,43.0,0
beta,0,1,0,1,en-gb,2015-12-01 04:51:20,5,google,43,1,43.0,0
beta,0,0,0,1,en-us,2015-12-01 04:55:43,4,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-12-01 05:04:41,5,other,43,0,43.0,1
release,0,1,0,1,en-us,2015-12-01 05:06:00,3,other,42,1,42.0,1
beta,0,1,0,1,en-us,2015-12-01 05:12:19,5,other,43,1,43.0,1
release,0,1,0,0,en-us,2015-12-01 05:22:31,5,google,41,0,41.0.2,0
nightly,0,0,1,0,en-us,2015-12-01 05:30:29,5,other,45,0,45.0a1,1
aurora,0,1,0,1,en-gb,2015-12-01 05:30:39,5,other,44,1,44.0a2,1
aurora,0,1,0,0,en-us,2015-12-01 05:33:00,5,google,44,0,44.0a2,0
beta,0,1,0,0,en-us,2015-12-01 05:53:37,4,google,42,0,42.0,0
beta,0,1,0,0,en-us,2015-12-01 06:07:13,5,google,41,0,41.0,0
release,0,0,0,1,en-us,2015-12-01 06:06:51,5,other,42,0,42.0,1
aurora,0,0,0,0,en-us,2015-12-01 06:09:45,5,google,44,0,44.0a2,0
aurora,0,1,1,1,en-gb,2015-12-01 06:34:49,5,google,44,0,44.0a2,0
beta,0,1,1,0,en-us,2015-12-01 06:36:07,1,google,43,1,43.0,0
release,0,1,0,1,en-us,2015-12-01 06:47:31,4,other,42,1,42.0,1
aurora,0,0,0,0,en-us,2015-12-01 07:13:11,4,yahoo,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-12-01 07:17:30,5,google,43,1,43.0,0
release,0,1,0,1,en-us,2015-12-01 07:22:57,5,yahoo,42,1,42.0,0
beta,0,1,0,1,en-us,2015-12-01 07:23:12,3,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-12-01 07:31:25,5,google,42,0,42.0,0
aurora,0,1,1,1,en-us,2015-12-01 07:36:59,4,google,44,1,44.0a2,0
nightly,0,1,0,1,en-us,2015-12-01 07:39:40,5,google,45,0,45.0a1,0
beta,0,0,0,1,en-us,2015-12-01 07:42:46,5,other,43,1,43.0,1
release,0,1,0,1,en-us,2015-12-01 07:55:33,4,other,42,1,42.0,1
release,0,1,0,0,en-us,2015-12-01 08:12:23,5,google,42,0,42.0,0
aurora,0,0,0,1,en-gb,2015-12-01 08:17:21,4,google,44,1,44.0a2,0
aurora,0,0,0,0,en-us,2015-12-01 08:26:02,5,google,44,0,44.0a2,0
beta,0,0,0,1,en-us,2015-12-01 08:33:26,5,google,43,0,43.0,0
beta,0,0,0,0,en-us,2015-12-01 08:33:44,1,google,43,1,43.0,0
aurora,0,1,1,1,en-us,2015-12-01 08:34:58,5,google,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-12-01 08:38:50,5,google,43,0,43.0,0
beta,0,0,0,1,en-us,2015-12-01 08:53:18,4,google,43,0,43.0,0
release,0,0,0,1,en-us,2015-12-01 09:04:12,5,google,42,1,42.0,0
aurora,0,0,0,1,en-us,2015-12-01 09:07:15,5,google,44,1,44.0a2,0
beta,0,1,0,1,en-us,2015-12-01 09:10:12,5,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-12-01 09:17:07,5,google,43,0,43.0,0
release,0,1,1,1,en-us,2015-12-01 09:35:17,4,google,42,1,42.0,0
aurora,0,1,0,1,en-us,2015-12-01 10:17:35,5,google,44,0,44.0a2,0
release,0,1,0,1,en-us,2015-12-01 10:19:18,4,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-12-01 11:05:04,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-12-01 11:10:35,5,other,42,1,42.0,1
release,0,1,0,1,en-us,2015-12-01 11:20:44,4,google,42,0,42.0,0
nightly,0,0,0,1,en-us,2015-12-01 11:22:09,2,ddg,45,0,45.0a1,0
aurora,0,0,0,1,en-us,2015-12-01 11:31:40,5,google,44,1,44.0a2,0
aurora,0,1,0,0,en-us,2015-12-01 11:55:35,5,google,44,1,44.0a2,0
release,0,0,0,1,en-gb,2015-12-01 11:57:56,5,other,42,1,42.0,1
aurora,0,1,1,1,en-us,2015-12-01 12:25:57,5,ddg,44,0,44.0a2,0
release,0,1,1,1,en-us,2015-12-01 12:29:46,5,google,42,0,42.0,0
aurora,0,1,0,1,en-us,2015-12-01 12:35:25,5,google,44,0,44.0a2,0
beta,0,1,1,1,en-us,2015-12-01 12:40:57,5,google,43,0,43.0,0
nightly,0,1,0,0,en-us,2015-12-01 13:10:22,3,ddg,45,0,45.0a1,0
aurora,0,1,0,1,en-us,2015-12-01 13:13:22,5,google,44,0,44.0a2,0
release,0,1,0,1,en-us,2015-12-01 13:29:40,4,google,42,1,42.0,0
aurora,0,1,1,1,en-us,2015-12-01 13:49:31,1,google,44,0,44.0a2,0
release,0,0,0,1,en-us,2015-12-01 14:01:54,4,yahoo,42,1,42.0,0
aurora,0,1,1,1,en-us,2015-12-01 14:03:27,3,ddg,43,0,43.0a2,0
nightly,0,1,1,1,en-us,2015-12-01 14:06:18,4,google,45,1,45.0a1,0
aurora,0,0,0,0,en-us,2015-12-01 14:27:40,5,google,44,0,44.0a2,0
nightly,0,1,1,0,en-us,2015-12-01 14:30:35,3,google,45,0,45.0a1,0
beta,0,1,0,1,en-us,2015-12-01 15:12:41,3,google,43,0,43.0,0
aurora,0,1,1,1,en-us,2015-12-01 15:37:40,5,google,44,0,44.0a2,0
nightly,0,1,0,1,en-us,2015-12-01 15:48:38,4,google,45,1,45.0a1,0
aurora,0,1,1,1,en-us,2015-12-01 15:58:33,5,google,44,1,44.0a2,0
nightly,0,1,0,1,en-us,2015-12-01 16:26:09,5,google,45,0,45.0a1,0
aurora,0,0,0,1,en-us,2015-12-01 16:32:20,5,google,44,1,44.0a2,0
aurora,0,1,0,1,en-us,2015-12-01 16:34:48,5,google,44,1,44.0a2,0
nightly,0,1,1,1,en-us,2015-12-01 16:42:52,5,google,45,1,45.0a1,0
beta,0,1,0,1,en-us,2015-12-01 16:56:47,5,google,40,1,40.0,0
release,0,1,1,1,en-us,2015-12-01 17:32:38,1,google,42,1,42.0,0
release,0,1,0,0,en-us,2015-12-01 17:41:40,5,yahoo,42,0,42.0,0
beta,0,1,0,1,en-us,2015-12-01 17:59:07,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-01 18:04:45,4,google,43,0,43.0,0
beta,0,0,0,0,en-us,2015-12-01 18:32:46,1,google,42,1,42.0,0
beta,0,1,0,0,en-us,2015-12-01 18:37:39,4,google,43,0,43.0,0
beta,0,0,0,1,en-us,2015-12-01 18:50:04,3,other,43,0,43.0,1
beta,0,1,0,1,en-us,2015-12-01 19:30:13,5,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-12-01 19:36:43,4,google,43,1,43.0,0
nightly,0,1,1,1,en-us,2015-12-01 19:37:54,5,google,45,0,45.0a1,0
aurora,0,1,0,0,en-us,2015-12-01 19:39:39,5,google,44,0,44.0a2,0
aurora,0,0,0,0,en-us,2015-12-01 19:43:04,1,google,44,1,44.0a2,0
beta,0,1,0,0,en-us,2015-12-01 20:00:13,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-01 20:04:36,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-12-01 20:05:32,3,other,42,1,42.0,1
beta,0,1,0,0,en-us,2015-12-01 20:24:58,5,google,43,0,43.0,0
nightly,0,0,0,1,en-us,2015-12-01 20:28:43,5,google,45,0,45.0a1,0
aurora,0,0,0,0,en-us,2015-12-01 20:34:52,5,google,44,0,44.0a2,0
release,0,1,0,1,en-us,2015-12-01 20:35:56,3,yahoo,42,1,42.0,0
beta,0,0,0,1,en-us,2015-12-01 20:37:59,5,google,43,0,43.0,0
release,0,0,0,1,en-us,2015-12-01 20:50:08,2,other,42,1,42.0,1
beta,0,0,0,1,en-us,2015-12-01 21:11:36,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-01 21:13:18,5,google,43,0,43.0,0
aurora,0,1,0,1,en-us,2015-12-01 22:06:06,5,google,44,1,44.0a2,0
release,0,0,0,0,en-us,2015-12-01 22:06:50,4,google,42,1,42.0,0
beta,0,0,0,1,en-us,2015-12-01 22:09:24,5,google,43,1,43.0,0
release,0,0,1,1,en-us,2015-12-01 22:10:54,3,google,42,0,42.0,0
beta,0,0,0,1,en-us,2015-12-01 22:19:38,5,google,43,1,43.0,0
release,0,1,0,1,en-us,2015-12-01 22:20:38,4,google,42,0,42.0,0
release,0,1,1,1,en-us,2015-12-01 22:22:26,5,google,42,1,42.0,0
beta,0,1,0,1,en-us,2015-12-01 22:28:20,4,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-01 22:54:43,5,google,43,0,43.0,0
aurora,0,1,0,1,en-us,2015-12-01 22:55:27,5,other,44,1,44.0a2,1
beta,0,1,0,0,en-us,2015-12-01 23:30:36,1,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-02 00:07:42,5,other,43,0,43.0,1
beta,0,1,0,0,en-us,2015-12-02 00:16:55,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-12-02 00:42:19,5,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-12-02 01:05:07,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-12-02 01:06:47,4,google,42,1,42.0,0
beta,0,1,0,1,en-us,2015-12-02 01:08:05,5,google,42,0,42.0,0
beta,0,1,1,0,en-us,2015-12-02 01:17:48,5,google,43,1,43.0,0
aurora,0,1,0,1,en-us,2015-12-02 01:18:52,1,google,44,1,44.0a2,0
beta,0,1,1,1,en-us,2015-12-02 01:18:58,5,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-12-02 01:35:58,5,google,43,1,43.0,0
aurora,0,0,0,1,en-gb,2015-12-02 01:51:13,5,google,44,1,44.0a2,0
beta,0,1,0,1,en-us,2015-12-02 02:02:35,3,google,43,1,43.0,0
release,0,1,0,1,en-us,2015-12-02 02:10:06,5,other,42,1,42.0,1
beta,0,1,0,1,en-us,2015-12-02 02:14:55,5,other,43,0,43.0,1
aurora,0,0,0,0,en-us,2015-12-02 02:31:14,5,google,44,0,44.0a2,0
release,0,0,0,1,en-us,2015-12-02 02:43:12,5,other,42,0,42.0,1
aurora,0,1,0,1,en-us,2015-12-02 02:51:35,1,other,44,0,44.0a2,1
beta,0,1,0,1,en-us,2015-12-02 03:14:03,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-12-02 03:17:38,5,google,42,0,42.0,0
aurora,0,1,0,1,en-us,2015-12-02 03:17:53,5,google,44,0,44.0a2,0
beta,0,1,0,0,en-us,2015-12-02 03:20:30,5,google,43,0,43.0,0
beta,0,0,1,1,en-us,2015-12-02 03:23:25,5,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-12-02 03:28:25,5,google,43,0,43.0,0
release,0,1,1,1,en-gb,2015-12-02 03:48:05,5,google,42,0,42.0,0
beta,0,0,0,1,en-us,2015-12-02 03:51:10,3,google,43,0,43.0,0
release,0,1,0,1,en-gb,2015-12-02 03:52:47,4,other,42,1,42.0,1
beta,0,1,0,0,en-us,2015-12-02 04:24:08,1,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-02 04:25:56,5,google,43,0,43.0,0
beta,0,1,0,0,en-us,2015-12-02 04:53:51,5,google,43,0,43.0,0
release,0,1,1,1,en-us,2015-12-02 04:58:20,5,other,42,1,42.0,1
release,0,1,1,1,en-us,2015-12-02 05:17:47,5,google,42,1,42.0,0
beta,0,1,1,1,en-us,2015-12-02 05:36:22,5,google,43,0,43.0,0
beta,0,0,0,1,en-us,2015-12-02 05:42:54,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-12-02 05:47:03,2,yahoo,42,0,42.0,0
aurora,0,0,0,1,en-us,2015-12-02 05:51:17,5,google,44,1,44.0a2,0
beta,0,0,0,0,en-us,2015-12-02 05:51:19,5,other,43,0,43.0,1
release,0,1,0,1,en-gb,2015-12-02 05:58:47,4,google,42,0,42.0,0
beta,0,0,0,1,en-us,2015-12-02 06:05:42,5,google,43,1,43.0,0
nightly,0,0,1,1,en-us,2015-12-02 06:10:31,5,google,45,0,45.0a1,0
release,0,1,0,1,en-us,2015-12-02 06:10:34,4,google,42,0,42.0,0
beta,0,1,1,1,en-us,2015-12-02 06:13:44,4,google,43,1,43.0,0
release,0,1,0,1,en-us,2015-12-02 06:14:59,4,google,42,0,42.0,0
release,0,0,0,1,en-us,2015-12-02 06:20:46,5,yahoo,42,1,42.0,0
release,0,0,0,0,en-us,2015-12-02 06:43:13,5,google,42,0,42.0,0
aurora,0,1,1,0,en-us,2015-12-02 06:51:22,4,google,44,0,44.0a2,0
release,0,0,1,1,en-us,2015-12-02 06:52:17,5,google,42,0,42.0,0
beta,0,1,1,1,en-us,2015-12-02 07:04:14,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-02 07:05:02,3,other,43,0,43.0,1
aurora,0,1,0,1,en-us,2015-12-02 07:08:02,5,google,44,1,44.0a2,0
nightly,0,1,0,1,en-us,2015-12-02 07:17:26,3,google,45,0,45.0a1,0
release,0,1,0,1,en-us,2015-12-02 07:24:33,5,google,42,1,42.0,0
aurora,0,0,0,1,en-us,2015-12-02 07:27:55,4,yahoo,44,1,44.0a2,0
aurora,0,1,0,0,en-us,2015-12-02 07:30:56,5,google,44,0,44.0a2,0
release,0,1,1,1,en-us,2015-12-02 07:39:47,4,ddg,42,1,42.0,0
release,0,1,0,1,en-us,2015-12-02 07:58:03,5,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-12-02 08:05:57,4,google,43,1,43.0,0
release,0,1,0,1,en-us,2015-12-02 08:18:04,3,google,42,1,42.0,0
release,0,1,0,1,en-us,2015-12-02 08:22:38,5,google,42,1,42.0,0
aurora,0,1,0,1,en-us,2015-12-02 08:30:49,5,google,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-12-02 08:32:53,5,google,43,0,43.0,0
release,0,0,0,1,en-us,2015-12-02 08:33:50,5,yahoo,42,1,42.0,0
aurora,0,1,1,0,en-us,2015-12-02 09:17:39,5,google,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-12-02 09:24:57,1,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-12-02 09:26:14,4,google,42,1,42.0,0
release,0,1,0,0,en-us,2015-12-02 09:29:25,5,other,42,1,42.0,1
aurora,0,0,0,0,en-us,2015-12-02 09:38:59,4,google,44,0,44.0a2,0
nightly,0,0,0,1,en-us,2015-12-02 09:41:08,4,other,45,0,45.0a1,1
beta,0,0,0,0,en-us,2015-12-02 09:51:29,5,google,43,0,43.0,0
aurora,0,0,1,1,en-us,2015-12-02 09:52:21,5,ddg,44,0,44.0a2,0
release,0,0,0,1,en-us,2015-12-02 09:59:00,5,yahoo,42,1,42.0,0
aurora,0,1,0,1,en-us,2015-12-02 10:02:56,5,ddg,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-12-02 10:08:00,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-02 10:13:57,5,other,43,0,43.0,1
aurora,0,1,0,1,en-us,2015-12-02 10:50:02,4,google,44,0,44.0a2,0
beta,0,0,0,1,en-us,2015-12-02 10:50:51,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-02 10:53:36,4,google,43,1,43.0,0
nightly,0,0,0,1,en-us,2015-12-02 10:54:39,4,google,45,0,45.0a1,0
release,0,1,1,1,en-us,2015-12-02 11:40:51,4,google,42,0,42.0,0
nightly,0,1,0,1,en-us,2015-12-02 11:50:04,5,google,45,0,45.0a1,0
release,0,0,0,1,en-us,2015-12-02 12:07:41,5,yahoo,42,1,42.0,0
beta,0,1,1,1,en-us,2015-12-02 12:30:19,4,google,43,0,43.0,0
aurora,0,1,0,1,en-us,2015-12-02 12:52:01,5,google,44,1,44.0a2,0
nightly,0,0,0,1,en-us,2015-12-02 13:04:46,5,google,45,1,45.0a1,0
nightly,0,1,0,1,en-us,2015-12-02 13:24:23,5,google,45,1,45.0a1,0
release,0,0,1,1,en-us,2015-12-02 13:31:39,5,other,42,0,42.0,1
release,0,1,0,1,en-us,2015-12-02 13:37:47,1,google,42,1,42.0,0
beta,0,1,0,1,en-us,2015-12-02 13:48:43,5,google,43,0,43.0,0
nightly,0,1,0,1,en-us,2015-12-02 13:53:02,5,google,45,0,45.0a1,0
beta,0,0,0,0,en-us,2015-12-02 14:12:00,1,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-12-02 14:12:38,5,other,42,1,42.0,1
aurora,0,0,0,1,en-us,2015-12-02 14:13:46,5,google,44,0,44.0a2,0
beta,0,1,1,1,en-us,2015-12-02 14:33:27,4,google,43,1,43.0,0
release,0,1,1,1,en-us,2015-12-02 14:43:15,4,google,42,1,42.0,0
release,0,1,1,1,en-us,2015-12-02 14:47:37,5,google,42,1,42.0,0
aurora,0,1,0,1,en-us,2015-12-02 14:58:47,5,google,44,1,44.0a2,0
beta,0,1,0,1,en-us,2015-12-02 15:29:46,1,google,41,0,41.0,0
beta,0,1,0,1,en-us,2015-12-02 15:23:53,5,google,43,0,43.0,0
release,0,1,1,1,en-us,2015-12-02 15:26:15,5,google,42,1,42.0,0
beta,0,1,0,0,en-us,2015-12-02 15:38:31,5,ddg,43,0,43.0,0
aurora,0,1,0,1,en-us,2015-12-02 15:42:24,5,google,44,0,44.0a2,0
nightly,0,1,1,0,en-us,2015-12-02 16:13:16,3,google,45,0,45.0a1,0
release,0,1,0,1,en-us,2015-12-02 16:24:47,3,wikipedia,42,1,42.0,0
release,0,0,0,1,en-us,2015-12-02 16:26:51,4,yahoo,42,1,42.0,0
nightly,0,1,0,1,en-us,2015-12-02 16:37:26,3,yahoo,45,1,45.0a1,0
beta,0,0,0,1,en-us,2015-12-02 17:14:51,1,google,43,1,43.0,0
aurora,0,1,1,1,en-us,2015-12-02 17:14:59,3,other,44,0,44.0a2,1
release,0,1,0,1,en-us,2015-12-02 17:30:43,3,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-12-02 17:45:39,5,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-12-02 17:58:17,5,google,43,1,43.0,0
release,0,1,0,1,en-us,2015-12-02 18:20:40,5,google,42,1,42.0,0
aurora,0,1,0,1,en-us,2015-12-02 18:21:53,5,google,44,1,44.0a2,0
release,0,1,0,1,en-us,2015-12-02 18:26:36,5,google,42,1,42.0,0
release,0,1,0,1,en-us,2015-12-02 18:31:04,5,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-12-02 18:44:55,5,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-12-02 18:45:28,4,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-12-02 18:46:10,2,google,42,0,42.0,0
release,0,0,0,1,en-gb,2015-12-02 18:46:40,4,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-12-02 18:53:47,5,google,43,0,43.0,0
aurora,0,1,1,1,en-us,2015-12-02 19:26:02,4,google,44,1,44.0a2,0
aurora,0,1,1,1,en-us,2015-12-02 19:28:07,5,google,44,0,44.0a2,0
beta,0,0,0,0,en-us,2015-12-02 19:32:33,4,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-02 19:53:06,5,google,43,0,43.0,0
beta,0,1,0,0,en-us,2015-12-02 20:01:56,5,google,43,0,43.0,0
beta,0,0,0,1,en-us,2015-12-02 20:05:26,5,google,43,0,43.0,0
release,0,0,0,1,en-us,2015-12-02 20:11:05,5,google,42,1,42.0,0
beta,0,1,0,1,en-us,2015-12-02 20:13:11,5,bing,43,0,43.0,0
release,0,1,1,1,en-us,2015-12-02 20:13:30,5,google,42,1,42.0,0
release,0,1,0,1,en-us,2015-12-02 20:13:49,5,google,42,1,42.0,0
release,0,0,0,1,en-us,2015-12-02 20:20:25,5,google,42,0,42.0,0
release,0,1,0,1,en-us,2015-12-02 20:37:48,5,ddg,42,1,42.0,0
beta,0,1,0,1,en-us,2015-12-02 20:41:14,4,google,43,1,43.0,0
beta,0,0,0,1,en-us,2015-12-02 20:54:51,5,google,43,0,43.0,0
aurora,0,1,0,1,en-us,2015-12-02 20:57:30,5,google,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-12-02 21:03:25,4,google,43,1,43.0,0
aurora,0,1,0,0,en-us,2015-12-02 21:20:48,4,google,44,0,44.0a2,0
beta,0,1,0,0,en-us,2015-12-02 21:24:19,1,google,41,0,41.0,0
aurora,0,1,0,0,en-us,2015-12-02 21:26:45,1,other,43,1,43.0a2,1
beta,0,1,0,0,en-us,2015-12-02 21:30:59,4,google,43,0,43.0,0
beta,0,0,0,1,en-us,2015-12-02 21:33:07,1,google,43,0,43.0,0
beta,0,0,0,0,en-us,2015-12-02 21:34:14,1,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-02 21:49:11,4,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-12-02 21:57:06,5,google,43,0,43.0,0
release,0,1,1,1,en-us,2015-12-02 21:59:42,3,ddg,42,1,42.0,0
