channel,clockSkewed,defaultBrowser,dnt,hasFlash,locale,received,score,searchEngine,series,silverlight,version,usingNonIncludedSearchEngine
beta,0,0,0,1,en-us,2015-11-29 01:42:43,5,google,43,1,43.0,0
beta,0,0,0,0,en-us,2015-11-29 01:44:01,5,google,43,0,43.0,0
beta,0,1,0,0,en-us,2015-11-29 01:46:29,1,other,43,0,43.0,1
aurora,0,1,1,0,en-gb,2015-11-29 02:08:18,5,ddg,44,0,44.0a2,0
release,0,1,0,1,en-us,2015-11-29 02:23:22,5,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-11-29 02:25:39,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-11-29 02:30:33,1,yahoo,42,1,42.0,0
nightly,0,0,0,1,en-us,2015-11-29 02:50:27,5,google,45,1,45.0a1,0
nightly,0,1,0,1,en-us,2015-11-29 03:07:56,3,google,45,0,45.0a1,0
beta,0,0,0,1,en-us,2015-11-29 03:22:47,3,other,43,0,43.0,1
release,0,1,1,1,en-us,2015-11-29 03:26:32,4,google,42,1,42.0,0
beta,0,0,0,1,en-us,2015-11-29 03:31:00,4,google,43,0,43.0,0
aurora,0,1,1,0,en-us,2015-11-29 03:39:16,5,google,44,0,44.0a2,0
aurora,0,0,0,0,en-us,2015-11-29 04:03:52,4,google,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-11-29 04:04:05,4,google,43,1,43.0,0
aurora,0,0,0,1,en-us,2015-11-29 04:08:40,5,other,43,0,43.0a2,1
nightly,0,1,1,1,en-us,2015-11-29 04:23:01,5,ddg,45,1,45.0a1,0
aurora,0,1,0,1,en-gb,2015-11-29 04:30:49,5,google,44,0,44.0a2,0
beta,0,1,1,1,en-us,2015-11-29 04:36:23,5,google,43,0,43.0,0
release,0,0,0,0,en-us,2015-11-29 04:37:13,5,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-11-29 04:40:58,5,google,41,1,41.0,0
beta,0,1,0,1,en-us,2015-11-29 04:41:42,4,google,43,0,43.0,0
beta,0,0,0,0,en-us,2015-11-29 04:44:29,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-11-29 04:59:09,5,google,42,1,42.0,0
release,0,1,0,1,en-us,2015-11-29 05:07:23,5,google,42,1,42.0,0
release,0,0,0,1,en-gb,2015-11-29 05:17:22,5,google,42,1,42.0,0
release,0,1,0,1,en-us,2015-11-29 05:49:43,5,yahoo,42,1,42.0,0
beta,0,1,0,1,en-us,2015-11-29 06:03:09,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-29 06:09:56,5,google,43,0,43.0,0
beta,0,1,1,1,en-us,2015-11-29 06:18:51,5,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-11-29 06:22:23,5,google,43,1,43.0,0
beta,0,1,0,0,en-us,2015-11-29 06:23:00,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-11-29 06:29:40,1,google,42,0,42.0,0
aurora,0,1,1,1,en-us,2015-11-29 06:33:01,5,google,44,0,44.0a2,0
aurora,0,0,0,1,en-us,2015-11-29 06:33:43,5,other,43,0,43.0a2,1
release,0,0,0,1,en-us,2015-11-29 06:34:00,5,other,42,1,42.0,1
beta,0,1,0,1,en-us,2015-11-29 06:34:14,4,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-29 06:35:51,5,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-11-29 06:36:41,5,google,43,0,43.0,0
beta,0,0,0,1,en-us,2015-11-29 06:39:43,4,other,43,0,43.0,1
beta,0,0,0,1,en-us,2015-11-29 06:48:14,5,other,43,1,43.0,1
release,0,1,0,1,en-us,2015-11-29 06:57:57,5,other,42,0,42.0,1
beta,1,0,0,1,en-us,2015-11-29 07:07:09,4,google,42,0,42.0,0
release,0,1,0,1,en-us,2015-11-29 07:08:52,5,google,42,1,42.0,0
nightly,0,0,0,0,en-us,2015-11-29 07:42:22,4,google,45,0,45.0a1,0
beta,0,0,0,1,en-us,2015-11-29 07:46:27,5,google,43,1,43.0,0
aurora,0,1,0,1,en-us,2015-11-29 08:00:18,5,google,44,0,44.0a2,0
release,0,1,0,0,en-gb,2015-11-29 08:14:38,4,other,42,0,42.0,1
beta,0,1,0,1,en-us,2015-11-29 08:22:47,5,google,43,0,43.0,0
aurora,0,0,1,0,en-us,2015-11-29 08:33:54,5,google,44,1,44.0a2,0
release,0,1,0,1,en-us,2015-11-29 08:36:21,4,google,42,0,42.0,0
beta,0,1,1,1,en-us,2015-11-29 08:41:14,2,google,41,0,41.0,0
beta,0,0,0,0,en-gb,2015-11-29 08:45:15,5,other,43,0,43.0,1
aurora,0,0,0,1,en-us,2015-11-29 09:05:06,4,google,44,0,44.0a2,0
release,0,1,0,0,en-us,2015-11-29 09:12:24,5,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-11-29 09:18:28,5,other,43,0,43.0,1
release,0,0,1,1,en-us,2015-11-29 09:43:47,5,google,42,0,42.0,0
beta,0,0,0,1,en-us,2015-11-29 10:05:03,5,google,43,0,43.0,0
beta,0,0,1,1,en-us,2015-11-29 10:15:12,1,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-29 10:17:39,5,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-11-29 10:42:28,5,google,41,0,41.0,0
release,0,1,1,1,en-us,2015-11-29 10:57:10,5,yahoo,42,1,42.0,0
release,0,1,1,1,en-us,2015-11-29 11:21:04,4,google,42,1,42.0,0
nightly,0,1,0,1,en-us,2015-11-29 11:58:10,5,google,45,1,45.0a1,0
beta,0,1,0,1,en-us,2015-11-29 12:31:17,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-29 12:45:17,2,google,43,0,43.0,0
beta,0,1,0,0,en-us,2015-11-29 13:18:42,4,google,43,0,43.0,0
release,0,1,1,1,en-us,2015-11-29 13:26:32,5,google,42,1,42.0,0
nightly,0,1,0,1,en-us,2015-11-29 13:30:05,5,google,45,0,45.0a1,0
beta,0,0,0,1,en-us,2015-11-29 13:44:09,4,other,43,1,43.0,1
nightly,0,0,1,0,en-us,2015-11-29 13:45:31,5,google,45,1,45.0a1,0
release,0,1,0,1,en-us,2015-11-29 13:48:58,3,google,42,0,42.0,0
release,0,1,1,1,en-us,2015-11-29 13:55:22,4,yahoo,42,1,42.0,0
aurora,0,1,0,1,en-us,2015-11-29 14:01:49,1,ddg,44,1,44.0a2,0
release,0,1,0,1,en-us,2015-11-29 15:47:25,3,google,42,0,42.0,0
release,0,1,1,0,en-us,2015-11-29 15:49:41,5,other,42,0,42.0,1
beta,0,1,0,1,en-us,2015-11-29 15:50:50,4,other,43,1,43.0,1
beta,0,1,0,0,en-us,2015-11-29 16:01:23,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-29 16:13:24,5,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-11-29 16:14:05,4,other,43,0,43.0,1
aurora,0,1,0,1,en-us,2015-11-29 16:20:49,5,google,44,1,44.0a2,0
release,0,0,0,0,en-us,2015-11-29 16:26:36,4,yahoo,42,0,42.0,0
release,0,0,0,1,en-us,2015-11-29 16:30:34,5,google,42,1,42.0,0
aurora,0,0,1,1,en-us,2015-11-29 16:43:46,1,google,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-11-29 16:53:54,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-29 16:54:09,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-11-29 17:04:01,5,google,42,1,42.0,0
beta,0,0,1,1,en-us,2015-11-29 17:06:41,5,google,43,0,43.0,0
nightly,0,0,0,1,en-us,2015-11-29 17:12:27,1,google,45,0,45.0a1,0
beta,0,0,0,1,en-us,2015-11-29 17:45:52,1,yahoo,43,0,43.0,0
release,0,1,0,1,en-gb,2015-11-29 18:36:04,5,google,42,0,42.0,0
beta,0,0,0,0,en-us,2015-11-29 18:38:35,1,google,43,1,43.0,0
aurora,0,1,1,1,en-us,2015-11-29 18:39:59,3,google,44,0,44.0a2,0
nightly,0,0,0,1,en-us,2015-11-29 18:53:19,3,google,45,1,45.0a1,0
beta,0,1,0,1,en-us,2015-11-29 19:05:59,5,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-11-29 19:06:34,4,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-29 19:12:12,5,google,43,1,43.0,0
beta,0,1,1,1,en-us,2015-11-29 19:12:56,4,google,42,0,42.0,0
aurora,0,0,1,0,en-us,2015-11-29 19:35:49,5,other,43,0,43.0a2,1
beta,0,1,0,1,en-us,2015-11-29 19:43:23,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-11-29 19:47:50,5,google,42,0,42.0,0
nightly,0,0,1,1,en-us,2015-11-29 19:50:44,5,google,45,0,45.0a1,0
beta,0,0,0,1,en-us,2015-11-29 20:10:19,5,other,43,0,43.0,1
beta,0,0,0,1,en-us,2015-11-29 20:12:24,5,google,43,1,43.0,0
release,0,1,1,1,en-us,2015-11-29 20:21:26,5,ddg,42,0,42.0,0
aurora,0,0,0,1,en-us,2015-11-29 20:27:28,5,google,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-11-29 20:36:48,1,other,43,1,43.0,1
beta,0,1,0,0,en-us,2015-11-29 20:53:26,4,google,43,0,43.0,0
aurora,0,1,0,0,en-us,2015-11-29 20:53:51,5,google,44,0,44.0a2,0
release,0,1,0,1,en-us,2015-11-29 21:09:18,5,google,42,0,42.0,0
aurora,0,1,0,0,en-us,2015-11-29 21:10:06,1,google,44,0,44.0a2,0
release,0,1,0,1,en-us,2015-11-29 21:10:57,5,google,42,1,42.0,0
release,0,1,0,1,en-us,2015-11-29 21:23:42,5,google,42,0,42.0,0
beta,0,1,0,1,en-us,2015-11-29 21:34:20,5,google,43,0,43.0,0
beta,0,0,0,1,en-us,2015-11-29 22:52:11,3,other,41,0,41.0,1
beta,0,0,0,1,en-us,2015-11-29 21:40:09,5,other,43,0,43.0,1
release,0,1,0,1,en-us,2015-11-29 21:47:46,4,google,42,1,42.0,0
beta,0,1,0,1,en-us,2015-11-29 21:53:38,4,google,43,1,43.0,0
aurora,0,1,0,1,en-us,2015-11-29 21:58:11,3,google,44,0,44.0a2,0
nightly,0,1,1,1,en-us,2015-11-29 22:11:48,5,google,45,0,45.0a1,0
aurora,0,1,1,1,en-us,2015-11-29 22:23:21,5,google,44,1,44.0a2,0
beta,0,1,0,1,en-us,2015-11-29 22:29:34,3,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-29 22:31:35,5,other,43,0,43.0,1
release,0,1,0,0,en-us,2015-11-29 22:36:22,5,google,42,0,42.0,0
aurora,0,0,0,1,en-us,2015-11-29 22:45:19,1,google,44,1,44.0a2,0
release,0,0,0,0,en-us,2015-11-29 22:48:11,5,google,42,0,42.0,0
beta,0,0,1,1,en-us,2015-11-29 22:49:46,5,google,43,1,43.0,0
release,0,1,0,1,en-us,2015-11-29 22:58:19,1,google,42,0,42.0,0
beta,0,0,0,0,en-us,2015-11-29 23:11:10,1,google,43,0,43.0,0
aurora,0,0,0,1,en-us,2015-11-29 23:11:33,5,google,44,1,44.0a2,0
nightly,0,0,0,1,en-us,2015-11-29 23:18:58,4,other,44,0,44.0a1,1
release,0,1,1,1,en-us,2015-11-29 23:21:22,5,google,42,0,42.0,0
beta,0,1,0,0,en-us,2015-11-29 23:47:46,4,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-11-29 23:49:15,1,other,43,0,43.0,1
beta,0,1,0,1,en-us,2015-11-29 23:49:54,5,google,43,1,43.0,0
aurora,0,0,0,1,en-us,2015-11-30 00:00:16,4,google,44,0,44.0a2,0
aurora,0,0,1,1,en-gb,2015-11-30 00:01:39,5,other,43,0,43.0a2,1
aurora,0,1,0,1,en-us,2015-11-30 00:02:46,1,ddg,44,1,44.0a2,0
release,0,1,0,1,en-us,2015-11-30 00:07:28,4,google,42,1,42.0,0
release,0,1,0,1,en-gb,2015-11-30 00:10:37,5,google,42,0,42.0,0
release,0,1,0,1,en-us,2015-11-30 00:10:49,2,google,42,0,42.0,0
beta,0,1,0,0,en-us,2015-11-30 00:21:00,3,google,43,0,43.0,0
beta,0,0,0,1,en-us,2015-11-30 00:30:19,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-30 01:02:32,5,google,43,0,43.0,0
nightly,0,0,0,1,en-us,2015-11-30 01:05:10,4,google,42,0,42.0a1,0
beta,0,1,0,1,en-us,2015-11-30 01:09:50,4,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-11-30 01:17:26,4,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-11-30 01:42:10,5,google,43,0,43.0,0
aurora,0,1,0,1,en-us,2015-11-30 01:45:58,4,google,44,0,44.0a2,0
release,0,1,0,1,en-gb,2015-11-30 02:33:57,1,other,42,1,42.0,1
beta,0,1,0,1,en-us,2015-11-30 02:35:55,1,other,43,0,43.0,1
release,0,1,0,1,en-us,2015-11-30 02:38:38,4,google,42,0,42.0,0
release,0,1,0,1,en-us,2015-11-30 02:45:06,2,other,42,1,42.0,1
release,0,0,0,1,en-us,2015-11-30 02:51:04,5,google,42,1,42.0,0
beta,0,0,0,1,en-us,2015-11-30 03:02:03,5,google,43,1,43.0,0
beta,0,1,0,1,en-us,2015-11-30 03:10:11,5,google,43,1,43.0,0
beta,0,1,1,1,en-us,2015-11-30 03:13:07,4,google,41,1,41.0,0
beta,0,0,0,0,en-us,2015-11-30 03:24:39,5,google,43,1,43.0,0
nightly,0,1,0,0,en-us,2015-11-30 03:25:29,5,google,45,0,45.0a1,0
beta,0,0,0,1,en-us,2015-11-30 03:30:29,4,google,43,0,43.0,0
release,0,1,0,0,en-gb,2015-11-30 03:34:42,4,google,42,0,42.0,0
beta,0,0,0,0,en-us,2015-11-30 03:40:05,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-30 03:40:47,1,other,43,0,43.0,1
aurora,0,1,1,1,en-us,2015-11-30 03:44:42,5,ddg,44,0,44.0a2,0
aurora,0,0,0,0,en-us,2015-11-30 03:45:21,4,google,44,1,44.0a2,0
aurora,0,0,1,1,en-us,2015-11-30 03:55:08,5,other,43,0,43.0a2,1
beta,0,0,0,1,en-us,2015-11-30 04:01:24,4,other,43,1,43.0,1
beta,0,1,0,1,en-us,2015-11-30 04:07:21,5,google,43,1,43.0,0
release,0,1,0,1,en-us,2015-11-30 04:15:33,5,google,42,0,42.0,0
release,0,1,1,0,en-us,2015-11-30 04:18:15,5,other,42,0,42.0,1
